user_id,business_id
39FT2Ui8KUXwmUt6hnwy-g,RJSFI7mxGnkIIKiJCufLkg
39FT2Ui8KUXwmUt6hnwy-g,fThrN4tfupIGetkrz18JOg
39FT2Ui8KUXwmUt6hnwy-g,mvLdgkwBzqllHWHwS-ZZgQ
39FT2Ui8KUXwmUt6hnwy-g,uW6UHfONAmm8QttPkbMewQ
39FT2Ui8KUXwmUt6hnwy-g,T70pMoTP008qYLsIvFCXdQ
39FT2Ui8KUXwmUt6hnwy-g,dJS3iH-odljqWS9MKEFsBA
39FT2Ui8KUXwmUt6hnwy-g,G859H6xfAmVLxbzQgipuoA
39FT2Ui8KUXwmUt6hnwy-g,5CJL_2-XwCGBmOav4mFdYg
39FT2Ui8KUXwmUt6hnwy-g,0ptR21GHRuQ1MFtxGNcxzw
39FT2Ui8KUXwmUt6hnwy-g,JVK8szNDoy9MNiYSz_MiAA
39FT2Ui8KUXwmUt6hnwy-g,T-TES2u1IA2THb8uBhNdCA
39FT2Ui8KUXwmUt6hnwy-g,n_-CwlqV8fzEIUPky8Ibtw
39FT2Ui8KUXwmUt6hnwy-g,QjZFYd5hme7EHegpuJngMQ
39FT2Ui8KUXwmUt6hnwy-g,9p-cpmHaga-EXyc6ZzYCcQ
39FT2Ui8KUXwmUt6hnwy-g,8xCiibfgqy-8xpCWEaguqg
39FT2Ui8KUXwmUt6hnwy-g,8tMy7yEeNVYylVVFRlPmdQ
39FT2Ui8KUXwmUt6hnwy-g,364hhL5st0LV16UcBHRJ3A
39FT2Ui8KUXwmUt6hnwy-g,rXKzE4Iraz7vGWovWW-aBA
39FT2Ui8KUXwmUt6hnwy-g,kJ34esV7NSbnLZeYzx4Rug
39FT2Ui8KUXwmUt6hnwy-g,Gen0ei06dGq13OJ8DRXUjg
39FT2Ui8KUXwmUt6hnwy-g,RADloW1UROUn4FJFU4JJNg
39FT2Ui8KUXwmUt6hnwy-g,Wg9272hxpu9IBTXMTB6EeQ
39FT2Ui8KUXwmUt6hnwy-g,X-b4-QvZLENnf3yFwhpSXQ
39FT2Ui8KUXwmUt6hnwy-g,FaHADZARwnY4yvlvpnsfGA
39FT2Ui8KUXwmUt6hnwy-g,O8SuwP1Cguu8-dos_8ibNg
39FT2Ui8KUXwmUt6hnwy-g,iRwT2pBa87Y54q8nqfNAzw
39FT2Ui8KUXwmUt6hnwy-g,-YGQwikbX2fXUIjyegR7pw
39FT2Ui8KUXwmUt6hnwy-g,EhIMjTklf4QPvRvMIhoQiA
39FT2Ui8KUXwmUt6hnwy-g,MdS6EHt2RZFpn9fQXZc9Ig
39FT2Ui8KUXwmUt6hnwy-g,7ZOTARscTr3opn4qLbbnZw
39FT2Ui8KUXwmUt6hnwy-g,I0f12eU-xFn6Kd_4H57jrQ
39FT2Ui8KUXwmUt6hnwy-g,bXCWON2Me0o86qvAb-XZPQ
39FT2Ui8KUXwmUt6hnwy-g,dLc1d1zwd1Teu2QED5TmlA
39FT2Ui8KUXwmUt6hnwy-g,VrKja5O6w0aJs-sFPMTtVw
39FT2Ui8KUXwmUt6hnwy-g,5mu4SWwVTgNUXw0lWLaoZw
39FT2Ui8KUXwmUt6hnwy-g,wL5yGvlL1zXZ4EPJ8d0hIA
39FT2Ui8KUXwmUt6hnwy-g,9xjAQ9VlK6e46xy_iLzXqg
39FT2Ui8KUXwmUt6hnwy-g,ZeLSZRm_l0Aw7idB3_fKbA
39FT2Ui8KUXwmUt6hnwy-g,eoHdUeQDNgQ6WYEnP2aiRw
39FT2Ui8KUXwmUt6hnwy-g,f5O7v_X_jCg2itqacRfxhg
39FT2Ui8KUXwmUt6hnwy-g,0jHZk9RrKh0uRhTRW1XIqQ
39FT2Ui8KUXwmUt6hnwy-g,l_-4l8JwZbAn75Q1sfI7zQ
39FT2Ui8KUXwmUt6hnwy-g,Dol1dv_P7yuIqy5b_-3qwA
39FT2Ui8KUXwmUt6hnwy-g,02Ycww2etUAxorZb5gIM8Q
39FT2Ui8KUXwmUt6hnwy-g,hggVnGwA5042-ABxqeJX-A
39FT2Ui8KUXwmUt6hnwy-g,2hgN9BGgenv8mZ0A8ybhGQ
39FT2Ui8KUXwmUt6hnwy-g,F09jtEb9KEph2L7Pbji5QQ
39FT2Ui8KUXwmUt6hnwy-g,WXd7r6Yvjxhyo1L6R3lQMA
39FT2Ui8KUXwmUt6hnwy-g,4BBda3yy_8GXGmYLcgggHw
39FT2Ui8KUXwmUt6hnwy-g,CQk3WJtULz_xOkUM6o7wpQ
39FT2Ui8KUXwmUt6hnwy-g,20ib4z2Yo2wlfARFMcFwSQ
39FT2Ui8KUXwmUt6hnwy-g,bYGn37k0KgleABKMWgjnMw
39FT2Ui8KUXwmUt6hnwy-g,gJhKRTcfOA-Gn1_R-j-F0w
39FT2Ui8KUXwmUt6hnwy-g,TkSIb5m9KXEBq2hViJwuXg
39FT2Ui8KUXwmUt6hnwy-g,kPV1DlXSkcXY5G8r2LLmEA
39FT2Ui8KUXwmUt6hnwy-g,Rl6NhS6S-Vv-HuGlQUVvRQ
39FT2Ui8KUXwmUt6hnwy-g,qtZ50TWkfNS2UtLLuD1m8Q
39FT2Ui8KUXwmUt6hnwy-g,Dy99p5bWfr6g0UtlmPjDqg
39FT2Ui8KUXwmUt6hnwy-g,ebVPLAeD7FZ2VzY5ryOCxw
39FT2Ui8KUXwmUt6hnwy-g,kRSTvmQaiWB2Dk5dhxat7g
39FT2Ui8KUXwmUt6hnwy-g,86Cq7KrcFUo1LGtNORfo1w
39FT2Ui8KUXwmUt6hnwy-g,LpyndkMvevIQA-JHoReHNw
39FT2Ui8KUXwmUt6hnwy-g,WAvBDsUGa_nzmcwfc42Qng
39FT2Ui8KUXwmUt6hnwy-g,w8zw4-3Ns2M4CQxeW9Bszw
39FT2Ui8KUXwmUt6hnwy-g,GIlFumyLyrKu-3xA_xZNQg
39FT2Ui8KUXwmUt6hnwy-g,UYop9KYT-_mJsc2bcH83jw
39FT2Ui8KUXwmUt6hnwy-g,NfIqgh7zrXLh39mRpZO0RQ
39FT2Ui8KUXwmUt6hnwy-g,1NZonnS3SpogXaZJigVgqA
39FT2Ui8KUXwmUt6hnwy-g,sAXy1yJRLllTm5WrJbJGAA
